issuer;shortRatioAmount;betaAmount;shortPercentAmount;lowAmount;highAmount;Low-High-Ratio;cluster
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#VailResorts,Inc;3.38;1.2577;0.9168;123.4575;293.49;0.42065317387304507;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#BWXTechnologies,Inc;2.55;0.9407;0.2533;39.9867;69.597;0.5745463166515798;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NiSourceInc;1.36;0.2541;0.5874;19.0681;29.694000000000006;0.6421532969623492;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AflacIncorporated;2.17;0.9869;0.2281;22.566;52.1946;0.4323435757722063;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PebblebrookHotelTrust;5.6;2.052;0.0;5.3737;26.0608;0.20619858177799608;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#GlobalNetLease,Inc;3.24;1.2126;1.1106;8.1003;20.0523;0.4039586481351267;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NaviosMaritimePartnersL.P;1.4;2.5039;0.8434;3.8525;16.5742;0.2324395747607728;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ZoetisInc;2.12;0.6724;0.2202;89.756;176.64;0.5081295289855073;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheProgressiveCorporation;2.23;0.4262;0.7037;61.9551;102.05;0.6071053405193533;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HCAHealthcare,Inc;2.87;1.5806;0.087;58.2514;166.5972;0.3496541358438197;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#VistraCorp;1.75;0.9066;0.3042;11.0613;22.8999;0.4830283101672933;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#XeniaHotels&Resorts,Inc;2.67;1.6373;13.75;6.1053;20.6488;0.2956733563209484;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PVHCorp;1.77;2.3486;0.125;28.4;107.9381;0.2631137661307731;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#UnitedParcelService,Inc;1.89;1.0042;0.5267;80.1408;176.9186;0.4529812015243168;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EastmanChemicalCompany;2.16;1.5627;0.4549;33.5893;104.1243;0.3225884831878822;1
